,AAPL,MSFT,AMZN,GOOGL,META,TSLA,NVDA,BABA,TCEHY,INTC,ADBE,NFLX,CRM,PYPL,AMD,BIDU,CSCO,QCOM,SQ,JD,TWTR,TEAM,SHOP,NOW,WDAY,SPLK,MU,NTES,VEEV,ADSK
2016-01-29,22.2107,49.1584,29.35,38.0675,112.21,12.7467,7.1505,67.03,16.8737,25.0246,89.13,91.84,68.06,36.14,2.2,163.27,18.7946,36.1903,8.77,25.0398,16.8,20.77,2.322,62.21,63.01,46.29,10.8752,27.8579,24.1,46.82
2016-02-29,22.1812,45.7216,27.626,35.861,106.92,12.7953,7.6839,68.81,16.5225,24.0825,85.15,93.41,67.75,38.14,2.14,173.42,20.6828,40.9236,10.44,24.7319,18.12,23.77,2.238,54.99,60.45,43.6,10.4808,24.0166,24.29,51.74
2016-03-31,25.0028,49.6306,29.682,38.145,114.1,15.318,8.7302,79.03,18.4044,26.3288,93.8,102.23,73.83,38.6,2.85,190.88,22.4919,41.2056,15.28,25.4919,16.55,25.15,2.821,61.18,76.84,48.93,10.3231,25.7332,25.04,58.31
2016-04-29,21.5044,44.814,32.9795,35.394,117.58,16.0507,8.7057,76.94,18.2783,24.6441,94.22,90.03,75.8,39.18,3.55,194.3,21.9183,40.7061,14.89,24.5876,14.62,23.17,3.185,71.48,74.98,51.98,10.5991,25.2171,27.51,59.82
2016-05-31,23.0484,47.9661,36.1395,37.4425,118.81,14.882,11.4765,82.0,20.1319,25.9342,99.47,102.57,83.71,37.79,4.57,178.54,23.1622,44.6757,9.53,23.6738,15.22,22.57,2.929,71.63,75.84,57.45,12.5415,32.0147,32.95,58.27
2016-06-30,22.0652,46.3099,35.781,35.1765,114.28,14.152,11.5477,79.53,20.8004,26.9276,95.79,91.48,79.41,36.51,5.14,165.15,22.8751,43.5775,9.05,20.4224,16.91,25.9,3.076,66.4,74.67,54.18,13.5669,34.7834,34.12,54.14
2016-07-29,24.0524,51.2966,37.9405,39.567,123.94,15.6527,14.0263,82.48,21.9143,28.6188,97.86,91.25,81.8,37.24,6.86,159.6,24.5656,50.9068,10.07,20.8264,16.64,29.97,3.427,74.92,83.34,62.54,13.5472,36.7727,37.99,59.45
2016-08-31,24.6205,52.3284,38.458,39.4925,126.12,14.134,15.0954,97.19,23.4446,29.688,102.31,97.45,79.42,37.15,7.4,171.07,25.2978,51.7372,12.19,24.4433,19.21,29.48,4.136,72.67,84.79,58.24,16.2586,38.2977,40.92,67.4
2016-09-30,26.2332,52.4559,41.8655,40.203,128.27,13.602,16.8623,105.79,25.2421,31.2266,108.54,98.55,71.33,40.97,6.91,182.07,25.5231,56.1915,11.66,25.0975,23.05,29.97,4.292,79.15,91.69,58.68,17.5305,43.503,41.28,72.33
2016-10-31,26.347,54.5687,39.491,40.495,130.99,13.182,17.512,101.69,24.0242,28.8443,107.51,124.87,75.16,41.66,7.23,176.86,24.8901,56.3719,11.2,24.9628,17.95,26.86,4.145,87.91,86.68,60.19,16.9192,46.4317,38.85,72.28
2016-11-30,25.7793,55.2419,37.5285,38.794,118.42,12.6267,22.7236,94.02,22.5844,28.9236,102.81,117.0,72.0,39.28,8.91,166.95,24.1924,56.3294,12.94,25.8478,18.49,27.14,4.167,83.15,84.32,57.62,19.2559,40.6251,46.48,72.61
2016-12-30,27.0155,56.9653,37.4935,39.6225,115.05,14.246,26.3072,87.81,21.9324,30.2323,102.95,123.8,68.46,39.47,11.34,164.41,24.5169,53.9069,13.63,24.4722,16.3,24.08,4.287,74.34,66.09,51.15,21.6124,39.0371,40.7,74.01
2017-01-31,28.3054,59.2663,41.174,41.0095,130.32,16.7953,26.9085,101.31,23.7118,30.6907,113.38,140.71,79.1,39.78,10.37,175.07,25.1378,44.1755,14.62,27.3196,17.62,27.63,5.082,90.62,83.09,57.86,23.7716,46.0273,42.33,81.34
2017-02-28,32.091,59.0064,42.252,42.2465,135.54,16.666,25.0424,102.9,24.0514,30.3887,118.34,142.13,81.35,42.0,14.46,174.13,27.9691,47.1335,17.32,29.407,15.77,28.44,5.921,86.92,82.93,61.73,23.111,55.3016,43.69,86.3
2017-03-31,33.6535,60.7402,44.327,42.39,142.05,18.5533,26.8808,107.83,26.1341,30.2796,130.13,147.81,82.49,43.02,14.55,172.52,27.6581,47.8512,17.28,29.9265,14.95,29.95,6.809,87.47,83.28,62.29,28.4944,51.6553,51.28,86.47
2017-04-28,33.6512,63.1381,46.2495,46.226,150.25,20.938,25.7383,115.5,28.3889,30.3468,133.74,152.2,86.12,47.72,13.3,180.23,28.121,44.847,18.24,33.7359,16.48,34.48,7.595,94.48,87.4,64.31,27.2817,48.2704,53.62,90.07
